x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-7.4451748538691e-13,-5.1185886235276e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,1,-nan
1,0,0,1,5.1185886235276e-11,4.1503562728559e-09,-7.4451748538691e-13,-5.1185886235276e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-7530.9350081961,-nan
2,0,0,2,1.021155141794e-10,7.052676646838e-09,-5.2531998769078e-13,-5.0929627944127e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-15057.336076799,-nan
3,0,0,3,1.5279061641345e-10,9.0131530972727e-09,-3.5484623752867e-13,-5.0675102234045e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-22571.186457047,-nan
4,0,0,4,2.0321349561453e-10,1.0274497573053e-08,-2.2830335011628e-13,-5.0422879201086e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-30066.270203645,-nan
5,0,0,5,2.5338666975819e-10,1.1041942135481e-08,-1.3890746579946e-13,-5.0173174143659e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-37537.416489722,-nan
6,0,0,6,3.0331266586936e-10,1.1478302040386e-08,-7.8981142787764e-14,-4.9925996111166e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-44980.602239816,-nan
7,0,0,7,3.5299392125318e-10,1.1704641362744e-08,-4.0967417346719e-14,-4.9681255383822e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-52392.919391746,-nan
8,0,0,8,4.0243275321955e-10,1.18052047223e-08,-1.8201968079658e-14,-4.9438831966369e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-59772.437085981,-nan
9,0,0,9,4.5163136551362e-10,1.1834781102559e-08,-5.3533248269426e-15,-4.9198612294067e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-67118.003603711,-nan
10,0,0,10,5.0059186921747e-10,1.1826657480971e-08,1.4703755073732e-15,-4.8960503703853e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-74429.034524924,-nan
11,0,0,11,5.4931630515752e-10,1.1799749525342e-08,4.8703399689719e-15,-4.8724435940047e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-81705.32335276,-nan
12,0,0,12,5.9780666205675e-10,1.1764155129909e-08,6.4425855733582e-15,-4.8490356899236e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-88946.894128452,-nan
13,0,0,13,6.4606488919256e-10,1.1724999624045e-08,7.0871465613906e-15,-4.825822713581e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-96153.899396836,-nan
14,0,0,14,6.9409290450281e-10,1.1684845074158e-08,7.2679735294479e-15,-4.8028015310247e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-103326.55630049,-nan
15,0,0,15,7.4189259973218e-10,1.1645084127247e-08,7.1967313909164e-15,-4.7799695229371e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-110465.10967674,-nan
16,0,0,16,7.8946584412095e-10,1.160670694369e-08,6.9462702238021e-15,-4.7573244388768e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-117569.81188056,-nan
17,0,0,17,8.3681448784322e-10,1.1570722091704e-08,6.5132582095516e-15,-4.7348643722266e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-124640.91192245,-nan
