size,xi_center,xv_center,Fi,Fv,Di,Dv,rho,Zi,Zv,ki,kv,Zi_scaled,Zv_scaled,ki_scaled,kv_scaled,super_saturation_center
1000.0,1.6428034203654e-10,9.0766544997806e-07,2.8350743747017e-07,2.8352593085288e-07,1.0,0.000181,1.909859317102744e-12,1725.7538787392525,1725.7918178551943,3.2959471243363607e-09,3.2960195827104245e-09,1.7257538787392526e-07,1.7257918178551942e-07,329594712433.63605,329601958271.0424,1.0608346265099
1000.0,1.0737940303003e-11,1.3908928441139e-05,1.2018276962797e-11,5.1928896026548004e-05,1.0,0.000181,1.909859317102744e-12,1.1192348461311465,20627.03674559507,2.1375810989096262e-12,3.939473831279541e-08,1.1192348461311465e-10,2.062703674559507e-06,213758109.8909626,3939473831279.5405,374313.58930017
1000.0,5.3935756326959e-12,2.7666349421383e-05,6.3619193290183005e-12,0.00010350155718441,1.0,0.000181,1.909859317102744e-12,1.1795365008793597,20668.856557082006,2.2527487760672142e-12,3.947460826940321e-08,1.1795365008793599e-10,2.0668856557082007e-06,225274877.6067214,3947460826940.321,746933.80164815
1000.0,2.6911924479909e-12,5.5410241753779e-05,3.8032080477865e-12,0.00020769889274934998,1.0,0.000181,1.909859317102744e-12,1.413205529253685,20709.306771243773,2.6990237470262648e-12,3.955186248779887e-08,1.413205529253685e-10,2.070930677124377e-06,269902374.70262647,3955186248779.886,1497172.2510058
1000.0,1.7937675405814e-12,8.3106422385298e-05,2.9346935807640998e-12,0.00031156807578423,1.0,0.000181,1.909859317102744e-12,1.6360501092649387,20712.84667342123,3.1246255444266057e-12,3.9558623202954116e-08,1.6360501092649387e-10,2.0712846673421233e-06,312462554.44266057,3955862320295.411,2245851.6774971
1000.0,1.3451413003089e-12,0.00011080306765363,2.4748783229085e-12,0.00041542579943988005,1.0,0.000181,1.909859317102744e-12,1.839864943809372,20713.958658851978,3.5138832051450454e-12,3.9560746938689513e-08,1.839864943809372e-10,2.071395865885198e-06,351388320.5145045,3956074693868.951,2994476.6468579
1000.0,1.0760155758374e-12,0.00013849858820563,2.1824988964677e-12,0.00051927148790484,1.0,0.000181,1.909859317102744e-12,2.028315338064868,20714.314024873336,3.873796946425591e-12,3.9561425637796386e-08,2.0283153380648681e-10,2.0714314024873336e-06,387379694.64255905,3956142563779.638,3743044.4153567
